theta,H,SE,CC,KK,Kuramoto
-10.0,0.0757552269018674,0.04896454254854828,-0.23095020645279415,0.9749900743741509,0.9453712079477683
-9.591836734693878,0.06888880090597796,0.04960020847887667,-0.24743536559572643,0.9734263219823375,0.9422185117453438
-9.183673469387756,0.07084715308285264,0.05058423200091524,-0.2642256068435699,0.9742892578320026,0.9391673217574075
-8.775510204081632,0.056357612816592545,0.0513605217811282,-0.2795532058202966,0.9746875086579434,0.9361652504116189
-8.36734693877551,0.06545320777918423,0.052763176771505355,-0.29754026014212953,0.9760474459536679,0.9319586508085101
-7.959183673469388,0.06720438577007332,0.05352155857288306,-0.31420697754059196,0.9794964491779111,0.9295173333577358
-7.551020408163265,0.07380531688151512,0.05481712015415484,-0.3327585276419714,0.9800768185801223,0.9248215347191728
-7.142857142857142,0.06847044801270716,0.056010380681725105,-0.35070831969412575,0.9818127620255711,0.9200450629051815
-6.73469387755102,0.07426818092647364,0.05740349130291247,-0.36990642170120136,0.9825366360275614,0.9149238621361625
-6.326530612244898,0.07523349041794822,0.05894140836171308,-0.39100234302809206,0.9835511540001236,0.9093133163505499
-5.918367346938775,0.08399297080843929,0.06183011392896501,-0.41213970664001753,0.9826606388258995,0.901996665349453
-5.5102040816326525,0.08692815269052762,0.0646234082532952,-0.4328336339877488,0.9822379952540089,0.8953185928032487
-5.1020408163265305,0.08808478100324296,0.06856537173615046,-0.4594905155941236,0.9796797221752617,0.8857959827536515
-4.6938775510204085,0.0901238911853943,0.07291701579157511,-0.48352542952097366,0.9755184576970939,0.8754282738805594
-4.285714285714286,0.08804764308993054,0.07962121271181037,-0.5102927666508006,0.9726302044915225,0.8647974896085028
-3.8775510204081627,0.07310018899218443,0.0883379591144112,-0.5411883037533076,0.9715127711539029,0.8496293303252302
-3.4693877551020407,0.07807686539955219,0.09484944046859968,-0.5724041725457741,0.9683963234581416,0.8320871210808888
-3.0612244897959187,0.07365511358568125,0.10020919786284646,-0.6100331900162934,0.9582962371326504,0.8094642923795503
-2.6530612244897958,0.0645598767236977,0.10041191886301569,-0.6499917751313732,0.9395951111180199,0.7827604062501562
-2.244897959183673,0.06614014479520805,0.10156592715732056,-0.6996515675621261,0.8486314501627251,0.741990109039088
-1.8367346938775508,0.14338353707013926,0.09602664313726703,-0.7122623505340001,0.7254360938472134,0.7329712050993181
-1.4285714285714288,0.12155359544859975,0.09377189609456053,-0.727539446120234,0.4071970498636455,0.7412088135402811
-1.020408163265305,0.1858585942557279,0.09258741063193843,-0.7452894957443,0.33393641475030056,0.7802021878746919
-0.612244897959183,0.4830127162964204,0.07265153850741667,-0.7603694026281219,0.16159846537646322,0.8553936518029996
-0.204081632653061,0.18329178291325304,0.0966677508561805,-0.6905360400596385,0.35933532602999263,0.9660925645089931
0.204081632653061,0.8916289173757315,0.010691012333988902,0.9999828223543711,0.14536648397975263,0.989646741093452
0.612244897959183,0.8923877663820239,0.014892478562651485,0.9999970408418679,0.169467029649068,0.9975972162366313
1.0204081632653068,0.8836654165252278,0.01388683046962256,0.9999969906403869,0.15105543110313946,0.9985393638821631
1.4285714285714288,0.882592951044094,0.014241285270032232,0.9999969470134328,0.15997836297199342,0.9989665640489728
1.8367346938775508,0.8820943410264215,0.01372224411156176,0.9999970686521639,0.14848144261956592,0.9992442894105636
2.2448979591836746,0.8958015368665927,0.01426298296740039,0.999997130994716,0.15872665717935955,0.9992688822451004
2.6530612244897966,0.8825316443684523,0.014138024490813163,0.9999971881480564,0.15880431982329218,0.9994224189817597
3.0612244897959187,0.8825150221805448,0.01434798434562157,0.9999971889270186,0.15936537234975492,0.9994490564902363
3.4693877551020407,0.8817566779909243,0.01459513768075558,0.9999972140864177,0.16370142741359245,0.999581163643989
3.8775510204081627,0.8820374817404321,0.01439339602973274,0.9999972053419776,0.15932431101779015,0.9995733502720756
4.2857142857142865,0.8955497144353443,0.014067352867643742,0.9999972434432765,0.15499070559674044,0.9996405382903247
4.6938775510204085,0.8831118828892901,0.014357764483807631,0.9999972183251727,0.1588100143019343,0.9996437746507472
5.1020408163265305,0.8841044176080499,0.014709016447033128,0.9999972266873941,0.16294784388845007,0.9997002023260968
5.510204081632654,0.8815581493450277,0.01407135602357135,0.9999972459813429,0.1543589676622938,0.9997405499010031
5.918367346938776,0.8811440601863799,0.014002721886231508,0.9999972600542268,0.15419143667886553,0.9997604136683438
6.326530612244898,0.8811958488025157,0.014028593596227754,0.9999972612976258,0.15413974010440346,0.9997379452752543
6.73469387755102,0.8952825955168434,0.014028982829451846,0.9999972639183096,0.15410835310557874,0.9997382537852553
7.142857142857142,0.8952996718769974,0.013990931793395075,0.9999972672842032,0.15413038875711874,0.9997604733864409
7.551020408163264,0.8822150717624939,0.014076467891506569,0.9999972607255432,0.15622908962551982,0.9997772055831043
7.95918367346939,0.8771334017637225,0.011111505340583862,0.999997333691469,0.12226588753433054,0.9998002693597834
8.367346938775512,0.8977906871030352,0.014095874631630874,0.9999972582638766,0.15961573807262283,0.9997965639401509
8.775510204081634,0.8750804652381068,0.010776319522063208,0.9999972966009064,0.13841345719318882,0.9998177700371469
9.183673469387756,0.8830905404155229,0.01409814480662743,0.9999972644865956,0.15974570445331132,0.999831469221122
9.591836734693878,0.8771439659597373,0.012376752650592389,0.99999728991756,0.14878422093280774,0.9998400632455859
10.0,0.8754658252016864,0.012807827831366844,0.9999972663179666,0.1562561242964423,0.9998401488665568
